id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
0qRR9d89hIS0MHRkQ0ejxX,Daryl Hall & John Oates,Rich Girl,Bigger Than Both Of Us,1976-08-01,84,False,0.573,0.683,5,-6.644,1,0.176,0.461,0.0,0.0935,0.817,169.519,142787,4,album rock;classic rock;mellow gold;rock;singer-songwriter;soft rock;yacht rock
0jJ9zH290VJPwzpxQriNsl,Folamour,Isla Nostalgia,Manifesto,2023-05-26,21,False,0.653,0.384,1,-8.611,1,0.0379,0.00187,0.836,0.0816,0.671,122.998,394000,4,jazz house;lo-fi house
40I4w5BaDv6QNCTfjuPxvI,Folamour,Friends (feat. Tim Ayre),Manifesto,2023-05-26,24,False,0.58,0.468,1,-6.88,1,0.0377,0.131,0.000424,0.278,0.73,186.07,199893,4,jazz house;lo-fi house
7FgjfoVQ6Wn1Nm53N5Upn8,J.J. Cale,Crazy Mama,Naturally,1972,58,False,0.828,0.0786,11,-19.45,1,0.0418,0.7,0.213,0.0769,0.485,96.178,142867,4,blues;blues rock;folk rock;roots rock;singer-songwriter
3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,channel ORANGE,2012-07-10,83,True,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4,lgbtq+ hip hop;neo soul
4fmMlfYmxRNdTEWXBJyaZa,Narciss,LOVE 4 LIFE,LOVE 4 LIFE,2023-07-14,39,False,0.629,0.9,11,-8.877,0,0.0459,0.00836,0.882,0.094,0.913,135.011,173810,4,
6WR6Rd2dCpnwDda3ehLEPX,Folamour,Poundland Anthem,Manifesto,2023-05-26,41,False,0.724,0.838,2,-6.869,0,0.0601,0.0114,0.667,0.108,0.451,125.003,355480,4,jazz house;lo-fi house
2wCgQVCF0jhDWiNTFjti7b,Diffrent,A Little Closer,A Little Closer,2024-05-10,69,False,0.633,0.842,7,-5.976,0,0.0341,0.0362,0.666,0.149,0.572,145.015,175208,4,
44ItzRkfG59n0roW7sNbmm,Folamour,When a Piano Saves the Day,Manifesto,2023-05-26,22,False,0.64,0.584,6,-7.172,0,0.0362,0.0368,0.908,0.0712,0.543,129.06,332520,4,jazz house;lo-fi house
1D0yTEUbDqtlabrI4wcT5F,Gotu Jim,Honderd Duizend Rondjes (Tjade Remix),Niet Geslapen Wel Gedoucht - Remixes,2023-10-13,35,False,0.582,0.696,9,-8.266,1,0.0363,0.00334,0.38,0.0838,0.225,131.99,359728,4,dutch hip hop;lustrum
1k1Bqnv2R0uJXQN4u6LKYt,Bill Withers,Ain't No Sunshine,Just As I Am,1971-05-01,83,False,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,125093,4,classic soul;funk;quiet storm;soul
2AMysGXOe0zzZJMtH3Nizb,Stromae,Formidable,racine carrée,2013-01-01,71,True,0.513,0.629,4,-9.055,0,0.19,0.0986,0.0,0.146,0.498,70.568,213933,4,belgian pop;g-house
1gwVDu3zIbLfufg69APtCT,Gotu Jim,Oranje Etiket,Oranje Etiket,2019-02-22,36,True,0.741,0.556,7,-6.904,0,0.113,0.427,0.0,0.104,0.71,79.043,193605,4,dutch hip hop;lustrum
6Fn1WAkDPjF1Tszdf59bWy,Folamour,Freedom,Manifesto,2023-05-26,49,False,0.766,0.769,9,-7.159,0,0.043,0.177,0.0779,0.0548,0.92,108.004,205893,4,jazz house;lo-fi house
7b4twDZXjQf8gyQGSvySZd,Chris Stussy,All Night Long,All Night Long,2023-05-26,60,False,0.768,0.703,5,-9.928,0,0.0466,0.00731,0.278,0.0977,0.788,133.01,234526,4,dutch tech house
0dGqP4VickYjtIaB5VOt4H,Russ,3:15 (Breathe),3:15 (Breathe),2021-05-21,77,True,0.451,0.627,8,-4.59,1,0.127,0.591,0.00958,0.118,0.77,74.69,184000,4,hawaiian hip hop;pop rap
04CyMEHliadfQWMUJb1w99,¥$,BURN,VULTURES 1,2024-02-09,54,True,0.6,0.885,11,-6.21,0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,111458,4,
3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Strange Trails,2015-04-06,90,False,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,208212,3,indie folk;stomp and holler
2TdDRjNiF1HuRvnclprnce,MIKA,Grace Kelly,Life In Cartoon Motion,2007-02-05,55,False,0.677,0.824,0,-5.752,1,0.0449,0.0268,0.0164,0.363,0.696,122.223,187733,4,electropop
4Pdga2WbSduucrMZeNMFpd,X CLUB.,Block Rockin,Block Rockin,2023-08-31,33,False,0.631,0.994,4,-7.184,0,0.0802,6.53e-05,0.418,0.0926,0.503,144.998,298575,4,australian techno
6sI5m6cabkKWBuDh0kXMKk,Belleruche,Anything You Want - Not That,The Express,2008-10-13,65,False,0.954,0.777,2,-7.935,0,0.0422,0.0541,0.786,0.111,0.952,122.32,202480,4,bboy;electro swing;nu jazz
7kBYPyaxF3oE9EgjOMpGKs,Malugi,Reach Out,Reach Out,2023-06-16,53,False,0.667,0.94,2,-7.445,0,0.0385,0.0006,0.915,0.079,0.875,142.995,138000,4,
4yA2SM7XCLkSgkBUSoZb5S,Travis,Sing,The Invisible Band,2001-06-12,69,False,0.33,0.905,4,-5.047,1,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,228800,4,britpop
22ykS8KWpd2r4zcRZ0XMK5,Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),NOT ALL HEROES WEAR CAPES (Deluxe),2018-11-06,65,True,0.674,0.23,1,-10.363,0,0.203,0.191,0.0,0.104,0.102,173.963,211920,4,rap
4feXcsElKIVsGwkbnTHAfV,Frank Sinatra,Somethin' Stupid,The World We Knew,1967-08,77,False,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356,162493,4,adult standards;easy listening;lounge
2P0viQycMetMJ2Gu5aj4Cr,Malugi,Really Happy,Really Happy,2023-11-30,49,False,0.654,0.964,2,-6.854,1,0.0398,0.000287,0.186,0.33,0.639,145.022,167500,4,
3IgUCMkHS4RgHdngIlporF,Halsey,Sorry,hopeless fountain kingdom (Deluxe Plus),2017-06-02,68,False,0.513,0.25,5,-9.376,0,0.0367,0.913,0.0,0.117,0.351,74.103,220541,4,electropop;etherpop;indie poptimism;pop
2ARMv3BeIvezKw9fTvVcDI,DOLKINS,Max&Chlo;é,Soundtrack Life is Strange Cover partie 1,2016-02-24,43,False,0.55,0.254,7,-19.633,1,0.0373,0.861,0.882,0.111,0.0397,80.014,168388,4,
