id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
6WK9dVrRABMkUXFLNlgWFh,Depeche Mode,Enjoy the Silence,The Singles 86-98,1998-09-28,73,False,0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,255133,4,dance rock;new romantic;new wave;permanent wave;rock;synthpop
6cNSOKvw5hYVrOCrLw8joJ,Glee Cast,Dream On (Glee Cast Version) (feat. Neil Patrick Harris),"Glee: The Music, Volume 3 Showstoppers",2010-05-18,46,False,0.417,0.622,3,-4.706,1,0.0299,0.0128,2.46e-06,0.614,0.224,154.022,274133,4,glee club;post-teen pop
6mVD1SfTvlFAPVi7txFL5H,The Strokes,Machu Picchu,Angles,2011-03-21,62,False,0.695,0.817,1,-5.294,1,0.0659,0.0132,0.097,0.0601,0.874,105.014,209627,4,alternative rock;garage rock;modern rock;permanent wave;rock
7aYwpbYXKVvQtEXqZrqHIh,Causes,Teach Me How to Dance With You,Under Bridges That You Built for Me,2016-02-05,50,False,0.685,0.446,7,-9.486,1,0.0272,0.422,1.67e-05,0.11,0.209,101.998,204689,4,dutch pop
7vRriwrloYVaoAe3a9wJHe,gnash,"i hate u, i love u (feat. olivia o'brien)",us,2016-03-25,74,True,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,251034,4,alt z;pop
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,AM,2013-09-09,86,False,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4,garage rock;modern rock;permanent wave;rock;sheffield indie
6Fp0XYEGecaLjnc5DKu983,Nothing But Thieves,City Haunts,Dead Club City,2023-06-30,52,True,0.65,0.811,9,-5.187,0,0.0352,0.00771,0.00196,0.136,0.76,113.01,191389,4,alternative pop rock;modern alternative rock;modern rock
72VBmMUTEVWFcDUVgMbqo0,Seafret,Atlantis - Sped Up Version,Atlantis,2016-01-29,64,False,0.425,0.544,9,-7.105,0,0.0292,0.0562,0.0,0.115,0.138,90.043,212443,4,folk-pop
0dGqP4VickYjtIaB5VOt4H,Russ,3:15 (Breathe),3:15 (Breathe),2021-05-21,77,True,0.451,0.627,8,-4.59,1,0.127,0.591,0.00958,0.118,0.77,74.69,184000,4,hawaiian hip hop;pop rap
2bL2gyO6kBdLkNSkxXNh6x,Maroon 5,Animals,V,2014-09-02,80,False,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,4,pop
